id_product;id_product_attribute;categorie;marque;nom;stock;prix_achat_ht;prix_vente_ttc;qte_30j;rotation_30j;rotation_60j;rotation_90j;tva_type;tva_rate;prix_vente_ht_equiv;flag_pa_missing;marge_eur;produit;produit_declinaison;nb_commandes_total;nb_clients_total;ca_total_ht;quantite_totale;panier_moyen_ht;age_moyen;anciennete_moyenne_jours;nb_nouveaux_clients;nb_anciens_clients;pourcentage_nouveaux_clients;taux_reachat_pourcent;p_new;p_stock;p_qte30;p_marge;p_reachat;score_acquisition;score_fidelisation;eligible
7316;2592;ACCESSOIRE PHOTO;Caruba;CARUBA CHIFFON MICROFIBRE Couleur: Blanc, Dimension: 20x20cm;14;0.97;3.9;8;0.57;0.57;0.57;NEUF;0.2;3.25;False;2.2800000000000002;CARUBA CHIFFON MICROFIBRE;CARUBA CHIFFON MICROFIBRE - Couleur: Blanc, Dimension: 20x20cm;19.0;19.0;149.5;46.0;7.87;41.6;477.0;7.0;12.0;36.8;78.9;0.8042313117066291;0.9881523272214386;0.9930888575458392;0.03742360131640809;0.8947813822284908;77.32087447108603;71.87776210625293;False
7316;2593;ACCESSOIRE PHOTO;Caruba;CARUBA CHIFFON MICROFIBRE Couleur: Rouge, Dimension: 20x20cm;6;0.0;3.9;20;3.33;4.0;5.33;NEUF;0.2;3.25;True;;CARUBA CHIFFON MICROFIBRE;CARUBA CHIFFON MICROFIBRE - Couleur: Rouge, Dimension: 20x20cm;9.0;9.0;81.5;22.0;9.06;33.5;251.0;5.0;4.0;55.6;77.8;0.842501175364363;0.9550070521861778;0.9990126939351199;0.01391631405735778;0.8938410907381288;77.98425011753645;70.7127409496944;False
7316;2594;ACCESSOIRE PHOTO;Caruba;CARUBA CHIFFON MICROFIBRE Couleur: Blanc, Dimension: 30x30cm;3;1.2;3.9;16;5.33;8.0;9.33;NEUF;0.2;3.25;False;2.05;CARUBA CHIFFON MICROFIBRE;CARUBA CHIFFON MICROFIBRE - Couleur: Blanc, Dimension: 30x30cm;15.0;15.0;103.6;30.0;6.91;32.3;449.0;7.0;8.0;46.7;73.3;0.8128349788434415;0.8949694405265632;0.9979313587212035;0.03338034790785143;0.8844381758345087;75.8617771509168;69.64786083685942;False
7316;2595;ACCESSOIRE PHOTO;Caruba;CARUBA CHIFFON MICROFIBRE Couleur: Rouge, Dimension: 30x30cm;3;1.2;9.9;0;0.0;1.33;4.0;NEUF;0.2;8.25;False;7.05;CARUBA CHIFFON MICROFIBRE;CARUBA CHIFFON MICROFIBRE - Couleur: Rouge, Dimension: 30x30cm;5.0;5.0;95.7;12.0;19.14;57.0;186.0;3.0;2.0;60.0;60.0;0.8499294781382228;0.8949694405265632;0.46821814762576397;0.12449459332393042;0.8574988246356371;65.46944052656323;60.38857545839211;False
7338;2596;OBJECTIF;Tokina;TOKINA OBJECTIF ATX-M 56MM F/1.4 PLUS Type de monture: Sony E;0;326.0;509.0;0;;;;NEUF;0.2;424.1666666666667;False;98.16666666666669;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7739539257169723;0.3962388340385519;46.43464974141984;49.89703808180536;False
7338;2597;OBJECTIF;Tokina;TOKINA OBJECTIF ATX-M 56MM F/1.4 PLUS Type de monture: Fujifilm X;0;337.0;539.0;0;;;;NEUF;0.2;449.1666666666667;False;112.16666666666669;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7975082275505406;0.3962388340385519;46.78796426892337;50.48589562764456;False
7339;2598;OBJECTIF;Tokina;TOKINA OBJECTIF ATX-M 33MM F/1.4 PLUS Type de monture: Sony E;0;288.0;499.0;0;;;;NEUF;0.2;415.83333333333337;False;127.83333333333337;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.820122237893747;0.3962388340385519;47.12717442407147;51.05124588622473;False
7339;2599;OBJECTIF;Tokina;TOKINA OBJECTIF ATX-M 33MM F/1.4 PLUS Type de monture: Fujifilm X;0;315.0;519.0;0;;;;NEUF;0.2;432.5;False;117.5;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.8043253408556652;0.3962388340385519;46.89022096850024;50.65632346027268;False
7354;2600;OBJECTIF;Tokina;TOKINA OBJECTIF ATX-M 23MM F/1.4 PLUS Type de monture: Sony E;0;326.0;509.0;0;;;;NEUF;0.2;424.1666666666667;False;98.16666666666669;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7739539257169723;0.3962388340385519;46.43464974141984;49.89703808180536;False
7354;2601;OBJECTIF;Tokina;TOKINA OBJECTIF ATX-M 23MM F/1.4 PLUS Type de monture: Fujifilm X;0;337.0;559.0;0;;;;NEUF;0.2;465.83333333333337;False;128.83333333333337;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.8214386459802538;0.3962388340385519;47.14692054536906;51.0841560883874;False
7373;2602;OBJECTIF;Viltrox;VILTROX OBJECTIF 13MM F/1.4 AF Type de monture: Sony E;0;343.14;539.0;0;;;;NEUF;0.2;449.1666666666667;False;106.0266666666667;VILTROX OBJECTIF 13MM F/1.4 AF;VILTROX OBJECTIF 13MM F/1.4 AF - Type de monture: Sony E;1.0;1.0;449.17;1.0;449.17;25.0;20.0;0.0;1.0;0.0;100.0;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7893747061589093;0.9539257169722614;46.6659614480489;69.80159849553361;False
7373;2603;OBJECTIF;Viltrox;VILTROX OBJECTIF 13MM F/1.4 AF Type de monture: Nikon Z;0;343.14;539.0;0;;;;NEUF;0.2;449.1666666666667;False;106.0266666666667;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7893747061589093;0.3962388340385519;46.6659614480489;50.282557592853784;False
7373;2604;OBJECTIF;Viltrox;VILTROX OBJECTIF 13MM F/1.4 AF Type de monture: Fujifilm X;3;343.14;539.0;0;0.0;0.0;0.0;NEUF;0.2;449.1666666666667;False;106.0266666666667;;;;;;;;;;;;;;0.3951104842501175;0.8949694405265632;0.46821814762576397;0.7893747061589093;0.3962388340385519;57.24988246356371;60.8664786083686;True
7374;2605;FILTRE;Cokin;COKIN KIT NX-SERIES Cokin NX-Series: Démarrage;0;105.95;249.9;0;;;;NEUF;0.2;208.25;False;102.3;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7809120827456512;0.3962388340385519;46.539022096850026;50.07099200752233;False
7374;2606;FILTRE;Cokin;COKIN KIT NX-SERIES Cokin NX-Series: Pose longue;0;137.75;299.0;0;;;;NEUF;0.2;249.16666666666669;False;111.41666666666669;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.7961448048895158;0.3962388340385519;46.76751292900799;50.45181006111894;False
7374;2607;FILTRE;Cokin;COKIN KIT NX-SERIES Cokin NX-Series: Paysage;0;185.46;399.0;0;;;;NEUF;0.2;332.5;False;147.04;;;;;;;;;;;;;;0.3951104842501175;0.36577338975082274;0.46821814762576397;0.8421250587682182;0.3962388340385519;47.45721673718853;51.601316408086504;False
