annee;categorie_principale;sous_categorie;nb_commandes_total;nb_clients_total;ca_total_ht;quantite_totale;panier_moyen_ht;age_moyen;anciennete_moyenne_jours;nb_nouveaux_clients;nb_anciens_clients;pourcentage_nouveaux_clients;ca_nouveaux_clients;ca_anciens_clients;panier_moyen_nouveaux;panier_moyen_anciens;taux_reachat_pourcent
2021;"MATERIEL D'ECLAIRAGE";"EQUIPEMENT DE STUDIO";1;1;140.83;1;140.83;;0;1;0;100.0;140.83;0.00;140.83;;0.0
2021;"EQUIPEMENT DE STUDIO";PACKSHOT;1;1;140.83;1;140.83;;0;1;0;100.0;140.83;0.00;140.83;;0.0
2021;"ACCESSOIRE PHOTO";TELECOMMANDE;1;1;140.83;1;140.83;40.0;0;1;0;100.0;140.83;0.00;140.83;;0.0
2021;SUPPORT/FIXATION;"PIED D'ECLAIRAGE";3;3;139.17;3;46.39;35.5;0;3;0;100.0;139.17;0.00;46.39;;66.7
2021;"PRO VIDEO";"ACCESSOIRE VIDÉO";1;1;129.00;1;129.00;31.0;2;1;0;100.0;129.00;0.00;129.00;;0.0
2021;"MATERIEL INFORMATIQUE";LOGICIEL;1;1;124.17;1;124.17;;0;1;0;100.0;124.17;0.00;124.17;;0.0
2021;LOGICIEL;PHOTO;1;1;124.17;1;124.17;;0;1;0;100.0;124.17;0.00;124.17;;0.0
2021;"ACCESSOIRE PHOTO";PROTECTION;3;3;97.50;3;32.50;45.3;0;3;0;100.0;97.50;0.00;32.50;;66.7
2021;Accueil;"NATURE ET OUTDOOR";3;3;90.84;5;30.28;32.5;88;1;2;33.3;6.67;84.17;6.67;42.09;66.7
2021;"NATURE ET OUTDOOR";"ACCESSOIRE DE TERRAIN";3;3;90.84;5;30.28;32.5;88;1;2;33.3;6.67;84.17;6.67;42.09;66.7
2021;"ACCESSOIRE DE TERRAIN";"PROTECTION ANTI-PLUIE";3;3;90.84;5;30.28;32.5;88;1;2;33.3;6.67;84.17;6.67;42.09;66.7
2021;SUPPORT/FIXATION;"SUPPORT DE FOND";1;1;82.50;1;82.50;;138;0;1;0.0;0.00;82.50;;82.50;100.0
2021;FILTRE;"FILTRE DRONE";1;1;74.17;1;74.17;31.0;1482;0;1;0.0;0.00;74.17;;74.17;100.0
2021;TREPIED/ROTULE;MONOPODE;1;1;65.83;1;65.83;;0;1;0;100.0;65.83;0.00;65.83;;0.0
2021;MODELEUR;"MODELEUR POUR FLASH COBRA";1;1;57.50;1;57.50;;148;0;1;0.0;0.00;57.50;;57.50;100.0
2021;TREPIED/SLIDER;"ACCESSOIRE TREPIED VIDEO";2;2;56.67;2;28.34;76.0;37;1;1;50.0;29.17;27.50;29.17;27.50;50.0
2021;MODELEUR;ACCESSOIRE;1;1;40.83;1;40.83;29.0;3;0;1;0.0;0.00;40.83;;40.83;100.0
2021;ACCESSOIRES;"BOUCHON ET PARE-SOLEIL";3;3;20.84;3;6.95;54.0;47;1;2;33.3;6.67;14.17;6.67;7.09;66.7
2021;SUPPORT/RIGS;RIG;2;2;15.00;2;7.50;29.5;128;1;1;50.0;7.50;7.50;7.50;7.50;50.0
