ean13;id_product;id_product_attribute;categorie;marque;nom;stock;prix_achat_ht;prix_vente_ht;qte_30j;rotation_30j;rotation_60j;rotation_90j
4414670377885;7806;3487;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE FUJI XF 150-600MM F/5.6-8 R LM OIS WR Couleur Lenscoat: Digital Camo";0;67.000000;114.92;2;;;
6981574299382;7806;3488;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE FUJI XF 150-600MM F/5.6-8 R LM OIS WR Couleur Lenscoat: Forest Green";0;60.000000;106.59;0;;;
1538261210511;7806;3489;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE FUJI XF 150-600MM F/5.6-8 R LM OIS WR Couleur Lenscoat: Snow";0;67.000000;114.92;0;;;
3066405963266;7815;3490;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE LARGE Couleur Lenscoat: Realtree Max 4";2;96.000000;164.08;0;0.00;0.00;0.00
6956414788642;7815;3491;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE LARGE Couleur Lenscoat: Realtree Max 5";0;100.000000;171.58;0;;;
5557202360289;7815;3492;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE LARGE Couleur Lenscoat: Noir";2;96.000000;164.08;0;0.00;0.00;0.00
6517996403196;7815;3493;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE LARGE Couleur Lenscoat: Digital Camo";0;96.000000;164.08;0;;;
3303986724300;7815;3494;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE LARGE Couleur Lenscoat: Forest Green";0;96.000000;164.08;0;;;
8975915920878;7815;3495;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE LARGE Couleur Lenscoat: Snow";0;96.000000;164.08;0;;;
3698465677032;7816;3496;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE SMALL Couleur Lenscoat: Realtree Max 4";2;88.000000;150.75;0;0.00;0.00;0.00
7502678853880;7816;3497;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE SMALL Couleur Lenscoat: Realtree Max 5";0;92.000000;157.42;0;;;
6562624499371;7816;3498;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE SMALL Couleur Lenscoat: Noir";2;88.000000;150.75;0;0.00;0.00;0.00
9581942226321;7816;3499;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE SMALL Couleur Lenscoat: Digital Camo";0;88.000000;150.75;0;;;
1135339433480;7816;3500;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE SMALL Couleur Lenscoat: Forest Green";0;88.000000;150.75;0;;;
1135339433481;7816;3501;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE SMALL Couleur Lenscoat: Snow";0;88.000000;150.75;0;;;
5132144728768;7817;3502;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE ZOOM Couleur Lenscoat: Realtree Max 4";0;80.000000;136.58;0;;;
9023747781313;7817;3503;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE ZOOM Couleur Lenscoat: Realtree Max 5";0;84.000000;143.25;0;;;
1121997135115;7817;3504;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE ZOOM Couleur Lenscoat: Noir";0;80.000000;136.58;0;;;
327491150132;7817;3505;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE ZOOM Couleur Lenscoat: Digital Camo";0;80.000000;136.58;0;;;
4565588948070;7817;3506;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE ZOOM Couleur Lenscoat: Forest Green";0;80.000000;136.58;0;;;
7386536779697;7817;3507;ACCESSOIRES;LensCoat;"LENSCOAT PARE-SOLEIL DE VOYAGE ZOOM Couleur Lenscoat: Snow";0;80.000000;136.58;0;;;
4960759910332;7823;3527;OBJECTIF;Nikon;"NIKON OBJECTIF NIKKOR  Z 17-28MM F/2.8 Type de monture: Nikon Z";1;866.000000;1124.17;2;2.00;4.00;4.00
6941565938206;7825;8562;STABILISATEUR;Dji;"DJI CARTE DE GARANTIE CARE REFRESH OSMO MOBILE 6 Dji Care refresh: 1 an";0;6.230000;8.25;0;;;
6941565938169;7825;8563;STABILISATEUR;Dji;"DJI CARTE DE GARANTIE CARE REFRESH OSMO MOBILE 6 Dji Care refresh: 2 ans";0;11.070000;14.08;0;;;
